date,days_ago,wpm,acc,rawWpm,consistency
2023-11-02,708,80.13,96.49,80.13,59.26
2023-11-03,707,70.71,98.08,70.71,73.22
2023-11-04,706,64.3,98.04,64.3,40.59
2023-11-05,705,82.67,94.44,93.45,71.84
2023-11-06,704,81.15,92.54,81.15,53.32
2023-11-07,703,80.54,98.04,80.54,76.55
2023-11-08,702,87.04,100.0,87.04,65.87
2023-11-09,701,82.89,96.3,82.89,73.0
2023-11-10,700,109.34,100.0,109.34,86.92
2023-11-11,699,76.41,100.0,76.41,59.98
2023-11-12,698,78.55,100.0,78.55,74.92
2023-11-13,697,66.78,98.11,66.78,59.51
2023-11-14,696,88.71,100.0,88.71,60.3
2023-11-15,695,74.14,100.0,74.14,74.97
2023-11-16,694,77.64,98.11,77.64,53.09
2023-11-17,693,48.42,87.5,84.74,59.76
2023-11-18,692,87.05,96.43,87.05,76.31
2023-11-19,691,85.28,100.0,85.28,72.4
2023-11-20,690,100.8,100.0,100.8,81.08
2023-11-21,689,60.9,98.18,60.9,49.73
2023-11-22,688,55.51,91.94,55.51,53.43
2023-11-23,687,60.36,93.33,60.36,40.36
2023-11-24,686,69.18,97.83,69.18,62.54
2023-11-25,685,58.65,96.49,58.65,49.18
2023-11-26,684,65.49,100.0,65.49,41.32
2023-11-27,683,66.97,96.3,66.97,61.0
2023-11-28,682,86.74,100.0,86.74,71.83
2023-11-29,681,85.01,94.55,85.01,56.14
2023-11-30,680,61.22,98.11,61.22,65.94
2023-12-01,679,77.23,100.0,77.23,83.16
2023-12-02,678,85.04,100.0,85.04,64.46
2023-12-03,677,88.4,100.0,88.4,59.62
2023-12-04,676,67.43,95.08,76.17,67.7
2023-12-05,675,65.15,90.63,65.15,53.44
2023-12-06,674,77.1,100.0,77.1,62.94
2023-12-07,673,76.45,100.0,76.45,72.89
2023-12-08,672,63.69,98.18,63.69,59.13
2023-12-09,671,44.43,94.0,44.43,52.53
2023-12-10,670,75.77,100.0,75.77,51.29
2023-12-11,669,74.3,96.08,74.3,74.44
2023-12-12,668,78.8,96.36,78.8,63.56
2023-12-13,667,64.88,98.18,64.88,65.27
2023-12-14,666,59.17,94.0,59.17,60.31
2023-12-15,665,77.19,98.08,77.19,73.22
2023-12-16,664,77.62,98.0,77.62,66.36
2023-12-17,663,73.93,100.0,73.93,70.47
2023-12-18,662,80.1,100.0,80.1,74.47
2023-12-19,661,67.93,96.83,67.93,65.37
2023-12-20,660,82.67,98.15,82.67,74.69
2023-12-21,659,75.61,97.87,75.61,54.67
2023-12-22,658,82.54,100.0,82.54,75.63
2023-12-23,657,100.98,100.0,100.98,73.42
2023-12-24,656,73.33,96.36,73.33,63.35
2023-12-25,655,82.08,96.0,82.08,56.41
2023-12-26,654,84.54,96.55,84.54,69.21
2023-12-27,653,81.2,98.11,81.2,75.35
2023-12-28,652,72.49,100.0,72.49,59.98
2023-12-29,651,77.41,100.0,77.41,82.88
2023-12-30,650,76.25,98.11,76.25,67.54
2023-12-31,649,72.44,100.0,72.44,59.93
2024-01-01,648,77.69,98.31,77.69,72.36
2024-01-02,647,60.15,96.15,63.83,61.95
2024-01-03,646,93.47,100.0,93.47,51.76
2024-01-04,645,82.93,100.0,82.93,60.09
2024-01-05,644,71.94,97.96,71.94,51.03
2024-01-06,643,69.32,100.0,69.32,76.8
2024-01-07,642,82.77,100.0,82.77,77.66
2024-01-08,641,77.52,100.0,77.52,66.67
2024-01-09,640,85.87,100.0,85.87,80.15
2024-01-10,639,62.05,100.0,62.05,59.63
2024-01-11,638,81.05,100.0,81.05,75.02
2024-01-12,637,69.84,94.44,69.84,54.5
2024-01-13,636,72.44,98.21,72.44,54.74
2024-01-14,635,68.08,100.0,68.08,61.96
2024-01-15,634,65.91,96.15,77.89,61.94
2024-01-16,633,55.86,96.61,55.86,53.15
2024-01-17,632,75.86,92.98,84.97,78.11
2024-01-18,631,73.04,90.91,100.43,81.4
2024-01-19,630,79.61,82.35,104.1,78.25
2024-01-20,629,81.07,94.34,87.83,69.87
2024-01-21,628,93.42,96.15,103.36,60.05
